model,score,lower,upper,avg_tokens,CI
grok-3-beta,100.0,100.0,100.0,0.0,"(-0.00, +0.00)"
gemini-2.5-flash-preview,100.0,100.0,100.0,0.0,"(-0.00, +0.00)"
claude-3.7-sonnet,100.0,100.0,100.0,0.0,"(-0.00, +0.00)"
gemma-3-27b-it,100.0,100.0,100.0,0.0,"(-0.00, +0.00)"
Qwen-Plus,100.0,100.0,100.0,0.0,"(-0.00, +0.00)"
gpt-4o-mini-2024-07-18,87.59543332576857,81.83418957010463,92.3947765813374,0.0,"(-5.76, +4.80)"
Phi4,70.74518463990626,65.84176640323022,75.08699584511612,0.0,"(-4.90, +4.34)"
gpt-4-0314,50.0,50.0,50.0,0.0,"(-0.00, +0.00)"
Mistral-8B,20.528384269291593,16.91468400995467,25.604387794037137,0.0,"(-3.61, +5.08)"
cohere-command-R7B,0.0,0.0,3.596425812421984,0.0,"(-0.00, +3.60)"
cognitivecomputations/dolphin-2.9-llama3-8b,0.0,0.0,0.0,0.0,"(-0.00, +0.00)"
