model,score_final,rating_q025,rating_q975,CI,avg_tokens,date
gemma-3-27b-it,93.8,92.24,95.31,"(-1.56, +1.51)",1433.0,2025-04-20
gemini-2.5-flash-preview,93.65,92.25,95.13,"(-1.40, +1.48)",1603.0,2025-04-20
grok-3-beta,93.38,91.74,95.05,"(-1.64, +1.67)",1325.0,2025-04-20
claude-3.7-sonnet,92.12,90.36,93.4,"(-1.76, +1.28)",808.0,2025-04-20
Qwen-Plus,86.71,84.36,88.39,"(-2.35, +1.68)",930.0,2025-04-20
gpt-4o-mini-2024-07-18,72.75,69.58,74.78,"(-3.17, +2.03)",624.0,2025-04-20
Phi4,70.47,67.38,73.85,"(-3.09, +3.38)",640.0,2025-04-20
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2025-04-20
Mistral-8B,46.73,43.59,49.77,"(-3.14, +3.04)",696.0,2025-04-20
cohere-command-R7B,42.13,39.56,45.64,"(-2.57, +3.51)",571.0,2025-04-20
cognitivecomputations/dolphin-2.9-llama3-8b,12.18,10.34,13.39,"(-1.84, +1.21)",0.0,2025-04-20
